Gene	SRR3189679	SRR3189680	SRR3189681	SRR3189682	SRR3189683	SRR3189684	SRR3189685	SRR3189686	SRR3189687	SRR3189688	SRR3189689	SRR3189690	SRR3189691	SRR3189692	SRR3189693	SRR3189694	SRR3189695	SRR3189696	SRR3189697
ENSMUSG00000000001	15.66237711687108	14.020691522659178	15.55523767349626	12.530302692282373	30.26070237558333	21.88635065028355	16.977009602480425	15.910324818470476	13.964012082070788	20.33431464623326	11.648719268394112	15.173052205499708	23.691736532165294	25.125880334091683	17.408527565474127	19.02174771396133	14.434415861472182	17.99931013234367	15.49715624364096
ENSMUSG00000000078	9.047701295948704	9.747571270851072	9.171093758881192	9.733709866188253	7.206914994778833	18.82520370818335	20.01182037318644	13.448449933562356	15.762446387110598	5.370334959369783	17.627957685897158	5.651179124018679	8.883215499397137	6.928067652442371	20.91420718106331	6.289831909787648	8.206712627577508	10.992601452976706	5.252032108333409
ENSMUSG00000000088	9.237976164726174	8.073520684720435	8.755246290563973	6.333605382424826	18.126031187544143	5.883343163175027	8.670121564029603	9.752253775358035	12.577906090823712	17.013499229160157	7.089455543246768	22.448803040609537	35.038973335052084	20.38321277562297	7.166812492721429	17.08912292987881	12.874232847080126	10.38258969500421	18.138421973516728
ENSMUSG00000000131	10.65972254168165	11.497411601085258	9.929943516152209	9.47082640528028	18.51023757741943	9.29089083448788	10.624432747651776	7.812153191295257	8.12195477980748	8.698492242363933	9.333313328808842	8.531610342528522	4.892324012066496	18.27564042493817	9.443033259954008	10.453828399666229	12.119833661674395	9.626272730828012	8.578218238946013
ENSMUSG00000000171	26.79522330094824	25.82730877102175	22.40705872976655	27.267145698852996	18.484010329643024	27.354977669971905	30.12406852671066	33.3233931105247	33.637555203574614	28.76971953244263	42.23874432148673	31.56234527132253	33.89884302087438	22.83032242315805	35.038973335052084	33.09557228440042	29.593055849388016	34.032496520686976	33.78262829230217
ENSMUSG00000000184	53.843353794571854	56.23676071889198	58.49597973243938	51.43253527346901	6.264113176369639	19.1344930782244	43.60264290157324	47.3678349463908	48.24667608784942	44.21244744506353	39.408431661122805	58.76316245801655	53.55312533514952	8.960645090712886	38.5589142216006	55.345219433375874	50.07992390772958	40.96389410952854	57.91339705589493
ENSMUSG00000000244	33.713278484297206	34.41744784671974	29.782376701085845	39.16264509565227	12.911464911607474	25.22911251598161	21.609567995237207	35.77981372399633	31.430727680409028	28.844003075716284	44.99935702239663	25.94761142887697	24.320738434616736	16.892600443676887	29.517529924119515	28.95286492498515	28.220223872125278	29.98010508471597	23.70791337246805
ENSMUSG00000000278	5.070007481765096	6.126242155289906	4.893678211661006	4.539194979112845	9.676897200583577	14.517524340778545	9.34359452401028	5.748742628092566	7.380709909262807	4.993246705362828	7.184588104999461	6.445122034855462	8.689944588673448	9.309487593241531	12.378873532002991	4.354043620190421	5.760051899565568	5.005791611102837	6.3581062949020914
ENSMUSG00000000290	5.124349933326464	6.816707810430146	5.847247053622231	4.635500710431382	20.18190736994401	23.89768942806572	13.391153907351049	10.251005590936384	12.526774062435944	4.360166686655347	7.237757335084293	6.720314016151112	8.83536529338786	13.328127620577597	11.531636984035572	4.947355911411584	5.004420240640925	5.4200778692195	4.6373596651753655
ENSMUSG00000000295	9.45165978589526	8.99431925092272	9.87792024798398	12.523188831744012	4.299513136218999	6.188581245849374	10.463898489008354	11.401906491564176	14.005686272652994	11.482538259309264	16.432334030792102	9.247555300771388	13.931839502933062	5.620689659106829	10.3620402338022	10.151369355746567	8.668128999368529	11.568627408436123	16.225391522733506
ENSMUSG00000000326	48.43102036581672	49.3545640177392	53.19681669229506	40.66411240458678	7.616403754327122	27.82008437449499	38.60963228575736	51.43253527346901	57.1423982507754	63.925659939669664	34.9457778619905	75.9659647062265	84.87792100279388	12.353042567003383	32.908411811654084	59.67490401153583	59.07915005179509	42.63633229127952	51.99096654928165
ENSMUSG00000000346	37.76034771440396	47.18350665457968	39.05285424406556	33.176237698667386	34.574038630311826	55.05014804562654	47.46010764818168	38.71340930116605	29.65141141600556	28.266986910659064	44.67112478957722	28.521270328286462	23.19972330572752	40.96389410952854	53.55312533514952	34.242618847808416	37.45267908307913	42.91345171860807	27.44446074317662
ENSMUSG00000000355	12.094257276958093	10.670385511884774	10.884764194769248	14.18231508629599	8.011306565235502	11.01236172104466	11.960914687847476	14.197759981032773	20.25651241550405	15.921981892485976	16.133660820616385	15.007364847661428	19.197161148760117	7.323834159327192	12.841483389642228	13.336714458605272	12.40441429961265	14.717708656354477	17.814345522954802
